,Estado,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,precipitation_hours,et0_fao_evapotranspiration,focuses
480,AMAZONAS,2023/03,30.06451612903226,23.76774193548387,26.225806451612904,346.9,346.9,341.0,3.4625806451612906,
481,AMAZONAS,2023/04,30.226666666666667,24.126666666666665,26.39333333333333,256.5,256.5,321.0,3.317333333333333,1.0
482,AMAZONAS,2023/05,29.670833333333334,24.3625,26.40416666666667,196.5,196.5,253.0,2.8716666666666666,
598,MARANHÃO,2019/08,30.967741935483872,25.825806451612905,27.825806451612905,16.2,16.2,76.0,4.706451612903226,21.0
599,MARANHÃO,2019/09,31.53666666666667,25.956666666666667,27.94,8.9,8.9,54.0,5.2860000000000005,17.0
600,MARANHÃO,2019/10,31.406451612903226,26.016129032258064,27.980645161290322,10.9,10.9,58.0,5.494516129032259,110.0
601,MARANHÃO,2019/11,31.05666666666667,26.263333333333332,28.126666666666665,21.7,21.7,44.0,5.245,213.0
602,MARANHÃO,2019/12,31.032258064516128,26.40967741935484,28.19677419354839,60.3,60.3,162.0,4.787419354838709,92.0
603,MARANHÃO,2020/01,28.66774193548387,25.05806451612903,26.648387096774194,273.2,273.2,446.0,3.450967741935484,
604,MARANHÃO,2020/02,28.479310344827585,24.837931034482757,26.413793103448278,356.0,356.0,476.0,3.3344827586206898,
605,MARANHÃO,2020/03,28.509677419354837,24.92258064516129,26.403225806451612,580.7,580.7,541.0,3.194516129032258,1.0
606,MARANHÃO,2020/04,28.75,25.013333333333332,26.506666666666668,455.8,455.8,499.0,2.993666666666667,
607,MARANHÃO,2020/05,29.538709677419355,25.503225806451614,27.15806451612903,205.4,205.4,329.0,3.591290322580645,5.0
608,MARANHÃO,2020/06,29.43,25.37,27.10666666666667,91.6,91.6,195.0,3.582,31.0
609,MARANHÃO,2020/07,30.24516129032258,25.700000000000003,27.56451612903226,24.5,24.5,114.0,4.231612903225806,41.0
610,MARANHÃO,2020/08,31.229032258064517,25.812903225806455,27.96451612903226,11.0,11.0,63.0,4.8832258064516125,56.0
611,MARANHÃO,2020/09,31.40666666666667,26.08,28.029999999999998,7.4,7.4,42.0,5.293333333333334,50.0
612,MARANHÃO,2020/10,31.203225806451613,26.26774193548387,28.125806451612902,6.5,6.5,40.0,5.515483870967741,89.0
613,MARANHÃO,2020/11,29.966666666666665,25.846666666666668,27.529999999999998,110.3,110.3,248.0,4.27,106.0
614,MARANHÃO,2020/12,30.11935483870968,26.183870967741935,27.758064516129032,63.3,63.3,181.0,4.593870967741935,61.0
