date;class;focuses;uf
2023/04;Floresta;68;RORAIMA
2023/04;Floresta;1;TOCANTINS
2023/04;Outros;1;AMAPÁ
2023/04;Outros;2;AMAZONAS
2023/04;Outros;15;MATO GROSSO
2023/04;Outros;4;PARÁ
2023/04;Outros;1;RONDÔNIA
2023/04;Outros;79;RORAIMA
2023/04;Vegetacao Secundaria;3;AMAZONAS
2023/04;Vegetacao Secundaria;18;MATO GROSSO
2023/04;Vegetacao Secundaria;5;PARÁ
2023/04;Vegetacao Secundaria;12;RORAIMA
2022/01;Desmatamento Consolidado;5;ACRE
2022/01;Desmatamento Consolidado;1;AMAPÁ
2022/01;Desmatamento Consolidado;48;AMAZONAS
2022/01;Desmatamento Consolidado;27;MARANHÃO
2022/01;Desmatamento Consolidado;236;MATO GROSSO
2022/01;Desmatamento Consolidado;99;PARÁ
2022/01;Desmatamento Consolidado;31;RONDÔNIA
2022/01;Desmatamento Consolidado;44;RORAIMA
2022/01;Desmatamento Recente;16;ACRE
2022/01;Desmatamento Recente;67;AMAZONAS
2022/01;Desmatamento Recente;3;MARANHÃO
2022/01;Desmatamento Recente;73;MATO GROSSO
2022/01;Desmatamento Recente;52;PARÁ
2022/01;Desmatamento Recente;41;RONDÔNIA
2022/01;Desmatamento Recente;89;RORAIMA
2022/01;Floresta;1;ACRE
2022/01;Floresta;2;AMAPÁ
2022/01;Floresta;16;AMAZONAS
2022/01;Floresta;1;MARANHÃO
2022/01;Floresta;5;MATO GROSSO
2022/01;Floresta;8;PARÁ
2022/01;Floresta;1;RONDÔNIA
2022/01;Floresta;40;RORAIMA
2022/01;Outros;5;AMAPÁ
2022/01;Outros;6;AMAZONAS
2022/01;Outros;2;MARANHÃO
2022/01;Outros;21;MATO GROSSO
2022/01;Outros;7;PARÁ
2022/01;Outros;183;RORAIMA
2022/01;Vegetacao Secundaria;2;ACRE
2022/01;Vegetacao Secundaria;20;AMAZONAS
2022/01;Vegetacao Secundaria;12;MARANHÃO
2022/01;Vegetacao Secundaria;5;MATO GROSSO
2022/01;Vegetacao Secundaria;36;PARÁ
2022/01;Vegetacao Secundaria;6;RONDÔNIA
2022/01;Vegetacao Secundaria;15;RORAIMA
2022/02;Desmatamento Consolidado;3;ACRE
2022/02;Desmatamento Consolidado;2;AMAZONAS
2022/02;Desmatamento Consolidado;9;MARANHÃO
2022/02;Desmatamento Consolidado;261;MATO GROSSO
2022/02;Desmatamento Consolidado;42;PARÁ
2022/02;Desmatamento Consolidado;13;RONDÔNIA
2022/02;Desmatamento Consolidado;15;RORAIMA
2022/02;Desmatamento Consolidado;1;TOCANTINS
2022/02;Desmatamento Recente;12;AMAZONAS
2022/02;Desmatamento Recente;2;MARANHÃO
2022/02;Desmatamento Recente;32;MATO GROSSO
2022/02;Desmatamento Recente;2;PARÁ
2022/02;Desmatamento Recente;3;RONDÔNIA
2022/02;Desmatamento Recente;19;RORAIMA
2022/02;Desmatamento Recente;2;TOCANTINS
2022/02;Floresta;3;AMAZONAS
2022/02;Floresta;1;MATO GROSSO
2022/02;Floresta;4;PARÁ
2022/02;Floresta;18;RORAIMA
2022/02;Outros;1;AMAPÁ
2022/02;Outros;8;MATO GROSSO
2022/02;Outros;9;PARÁ
2022/02;Outros;91;RORAIMA
2022/02;Vegetacao Secundaria;1;AMAZONAS
2022/02;Vegetacao Secundaria;1;MARANHÃO
2022/02;Vegetacao Secundaria;9;MATO GROSSO
2022/02;Vegetacao Secundaria;13;PARÁ
2022/02;Vegetacao Secundaria;5;RORAIMA
